year,countryCode,country,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,Qscore,total,GDP,population
2016,7,Angola,EFConsPerCap,0.319992737,0.085552938,0.09045869,0.094314132,0.04415129,0.265653688,3A,0.900123475,3530.309326,28842500
2016,7,Angola,EFConsTotGHA,9229390.518,2467560.62,2609054.767,2720255.35,1273433.578,7662116.492,3A,25961811.32,3530.309326,28842500
2016,7,Angola,EFExportsPerCap,0.001539981,3.62E-05,0.003077696,0.013346587,0,0.166366481,3A,0.184366911,3530.309326,28842500
2016,7,Angola,EFExportsTotGHA,44416.89645,1043.111339,88768.4466,384948.9441,0,4798425.226,3A,5317602.625,3530.309326,28842500
2016,7,Angola,EFImportsPerCap,0.108141249,0.023526404,0.003883933,0.02482195,0,0.186945634,3A,0.34731917,3530.309326,28842500
2016,7,Angola,EFImportsTotGHA,3119063.979,678560.2946,112022.3464,715927.0856,0,5391979.46,3A,10017553.17,3530.309326,28842500
2016,7,Angola,EFProdPerCap,0.213391469,0.0620627,0.089652453,0.082838769,0.04415129,0.245074534,3A,0.737171216,3530.309326,28842500
2016,7,Angola,EFProdTotGHA,6154743.435,1790043.437,2585800.867,2389277.208,1273433.578,7068562.258,3A,21261860.78,3530.309326,28842500
2016,7,Angola,GDP,,,,,,,,3530.309326,3530.309326,28842500
2016,7,Angola,HDI,,,,,,,,0.578000009,13917.95117,28842500
2016,7,Angola,Population,,,,,,,,28842500,13917.95117,28842500
2016,8,Antigua and Barbuda,AreaPerCap,,,,,,,2B,4.108667346,13917.95117,94527
2016,8,Antigua and Barbuda,AreaTotHA,,,,,,,2B,388380,13917.95117,94527
2016,8,Antigua and Barbuda,BiocapPerCap,,,,,,,2B,0.872049345,13917.95117,94527
2016,8,Antigua and Barbuda,BiocapTotGHA,,,,,,,2B,82432.20878,13917.95117,94527
2016,8,Antigua and Barbuda,Earths,,,,,,,2B,2.916047894,13917.95117,94527
2016,8,Antigua and Barbuda,EFConsPerCap,,,,,,,2B,4.687087796,13917.95117,94527
2016,8,Antigua and Barbuda,EFConsTotGHA,,,,,,,2B,443056.3501,13917.95117,94527
2016,8,Antigua and Barbuda,EFExportsPerCap,,,,,,,2B,0.081969848,13917.95117,94527
2016,8,Antigua and Barbuda,EFExportsTotGHA,,,,,,,2B,7748.363884,13917.95117,94527
2016,8,Antigua and Barbuda,EFImportsPerCap,,,,,,,2B,2.521221472,13917.95117,94527
2016,8,Antigua and Barbuda,EFImportsTotGHA,,,,,,,2B,238323.5032,13917.95117,94527
2016,8,Antigua and Barbuda,EFProdPerCap,,,,,,,2B,2.247836172,13917.95117,94527
2016,8,Antigua and Barbuda,EFProdTotGHA,,,,,,,2B,212481.2108,13917.95117,94527
2016,8,Antigua and Barbuda,GDP,,,,,,,,13917.95117,13917.95117,94527
2016,8,Antigua and Barbuda,HDI,,,,,,,,0.764999986,10239.48145,94527
2016,8,Antigua and Barbuda,Population,,,,,,,,94527,10239.48145,94527
2016,9,Argentina,AreaPerCap,0.822827723,2.59489525,0.666766264,1.90672857,0.033956354,0,3A,6.025174162,10239.48145,43508500
2016,9,Argentina,AreaTotHA,35800000,112900000,29010000,82958900,1477390.015,0,3A,262146290,10239.48145,43508500
2016,9,Argentina,BiocapPerCap,2.524012122,1.749011439,0.62918343,1.573007975,0.104160623,0,3A,6.579375589,10239.48145,43508500
2016,9,Argentina,BiocapTotGHA,109815981.4,76096864.18,27374827.26,68439217.49,4531872.469,0,3A,286258762.8,10239.48145,43508500
2016,9,Argentina,Earths,0.447386567,0.481091051,0.169900836,0.051170725,0.064803003,0.69618224,3A,1.910534422,10239.48145,43508500
2016,9,Argentina,EFConsPerCap,0.719103456,0.773278106,0.273088839,0.082248883,0.104160623,1.119003322,3A,3.070883229,10239.48145,43508500
2016,9,Argentina,EFConsTotGHA,31287112.71,33644170.47,11881685.77,3578525.539,4531872.469,48686156.03,3A,133609523,10239.48145,43508500
2016,9,Argentina,EFExportsPerCap,1.841760221,0.158539427,0.022976811,0.104814919,0,0.621082573,3A,2.749173951,10239.48145,43508500
2016,9,Argentina,EFExportsTotGHA,80132224.58,6897812.656,999686.6021,4560339.901,0,27022371.13,3A,119612434.9,10239.48145,43508500
2016,9,Argentina,EFImportsPerCap,0.036851555,0.000642776,0.055550555,0.008274321,0,0.318197301,3A,0.419516509,10239.48145,43508500
2016,9,Argentina,EFImportsTotGHA,1603355.894,27966.21896,2416921.321,360003.3152,0,13844287.28,3A,18252534.03,10239.48145,43508500
2016,9,Argentina,EFProdPerCap,2.524012122,0.931174757,0.240515096,0.178789481,0.104160623,1.421888594,3A,5.400540672,10239.48145,43508500
2016,9,Argentina,EFProdTotGHA,109815981.4,40514016.91,10464451.05,7778862.125,4531872.469,61864239.87,3A,234969423.8,10239.48145,43508500
2016,9,Argentina,GDP,,,,,,,,10239.48145,10239.48145,43508500
2016,9,Argentina,HDI,,,,,,,,0.838999987,55728.68359,43508500
2016,9,Argentina,Population,,,,,,,,43508500,55728.68359,43508500
2016,10,Australia,AreaPerCap,1.252045361,12.86847754,5.524414196,8.700903312,0.026748919,0,3A,28.37258933,55728.68359,24262700
2016,10,Australia,AreaTotHA,30378000,312224000,134037200,211107400,649000.9766,0,3A,688395601,55728.68359,24262700
2016,10,Australia,BiocapPerCap,2.160922553,4.496385409,2.019646578,3.003115771,0.046166332,0,3A,11.72623664,55728.68359,24262700
2016,10,Australia,BiocapTotGHA,52429813.95,109094446.8,49002077.44,72863694.68,1120119.838,0,3A,284510152.7,55728.68359,24262700
2016,10,Australia,Earths,0.474437862,0.263989642,0.554209879,0.074826835,0.02872215,2.790018201,3A,4.186204569,55728.68359,24262700
2016,10,Australia,EFConsPerCap,0.762584154,0.424321779,0.890805108,0.120272354,0.046166332,4.484514911,3A,6.728664638,55728.68359,24262700
2016,10,Australia,EFConsTotGHA,18502349.95,10295191.7,21613336.39,2918131.944,1120119.838,108806436.4,3A,163255566.3,55728.68359,24262700
2016,10,Australia,EFExportsPerCap,1.616931399,1.951790747,0.258531767,0.019959958,0,2.481083186,3A,6.328297058,55728.68359,24262700
2016,10,Australia,EFExportsTotGHA,39231120.19,47355711.84,6272678.511,484282.4481,0,60197775.08,3A,153541568.1,55728.68359,24262700
2016,10,Australia,EFImportsPerCap,0.218592999,0.040339895,0.222221722,0.093318309,0,1.568679939,3A,2.143152865,55728.68359,24262700
2016,10,Australia,EFImportsTotGHA,5303656.196,978754.7329,5391698.809,2264154.067,0,38060409.53,3A,51998673.34,55728.68359,24262700
2016,10,Australia,EFProdPerCap,2.160922553,2.335772632,0.927115153,0.046914002,0.046166332,5.396918158,3A,10.91380883,55728.68359,24262700
2016,10,Australia,EFProdTotGHA,52429813.95,56672148.81,22494316.1,1138260.325,1120119.838,130943802,3A,264798461,55728.68359,24262700
2016,10,Australia,GDP,,,,,,,,55728.68359,55728.68359,24262700
2016,10,Australia,HDI,,,,,,,,0.93900001,48259.9375,24262700
2016,10,Australia,Population,,,,,,,,24262700,48259.9375,24262700
