year,countryCode,country,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,Qscore,total,GDP,population,
2015,7,Angola,EFImportsPerCap,0.120408591,0.027445973,0.00424339,0.045879602,0,0.305386598,3A,0.503364154,3748.320557,27884400,
2015,7,Angola,EFImportsTotGHA,3357521.361,765314.4995,118324.3741,1279325.2,0,8515522.171,3A,14036007.61,3748.320557,27884400,
2015,7,Angola,EFProdPerCap,0.216991146,0.069622056,0.091500819,0.071960593,0.043446311,0.28318225,3A,0.776703175,3748.320557,27884400,
2015,7,Angola,EFProdTotGHA,6050668.009,1941369.287,2551445.47,2006577.983,1211474.337,7896367.235,3A,21657902.32,3748.320557,27884400,
2015,7,Angola,GDP,,,,,,,,3748.320557,3748.320557,27884400,
2015,7,Angola,HDI,,,,,,,,0.572000027,13328.14648,27884400,
2015,7,Angola,Population,,,,,,,,27884400,13328.14648,27884400,
2015,8,Antigua and Barbuda,AreaPerCap,,,,,,,2B,4.151614819,13328.14648,93566,
2015,8,Antigua and Barbuda,AreaTotHA,,,,,,,2B,388450,13328.14648,93566,
2015,8,Antigua and Barbuda,BiocapPerCap,,,,,,,2B,0.879232876,13328.14648,93566,
2015,8,Antigua and Barbuda,BiocapTotGHA,,,,,,,2B,82266.30494,13328.14648,93566,
2015,8,Antigua and Barbuda,Earths,,,,,,,2B,2.975439289,13328.14648,93566,
2015,8,Antigua and Barbuda,EFConsPerCap,,,,,,,2B,4.818574772,13328.14648,93566,
2015,8,Antigua and Barbuda,EFConsTotGHA,,,,,,,2B,450854.7762,13328.14648,93566,
2015,8,Antigua and Barbuda,EFExportsPerCap,,,,,,,2B,0.064971649,13328.14648,93566,
2015,8,Antigua and Barbuda,EFExportsTotGHA,,,,,,,2B,6079.1374,13328.14648,93566,
2015,8,Antigua and Barbuda,EFImportsPerCap,,,,,,,2B,2.582849583,13328.14648,93566,
2015,8,Antigua and Barbuda,EFImportsTotGHA,,,,,,,2B,241666.909,13328.14648,93566,
2015,8,Antigua and Barbuda,EFProdPerCap,,,,,,,2B,2.300696837,13328.14648,93566,
2015,8,Antigua and Barbuda,EFProdTotGHA,,,,,,,2B,215267.0046,13328.14648,93566,
2015,8,Antigua and Barbuda,GDP,,,,,,,,13328.14648,13328.14648,93566,
2015,8,Antigua and Barbuda,HDI,,,,,,,,0.762000024,10568.1582,93566,
2015,8,Antigua and Barbuda,Population,,,,,,,,93566,10568.1582,93566,
2015,9,Argentina,AreaPerCap,0.831100844,2.620985623,0.675489979,1.925899771,0.033956504,0,3A,6.087432722,10568.1582,43075400,
2015,9,Argentina,AreaTotHA,35800000,112900000,29097000,82958900,1462689.941,0,3A,262218589.9,10568.1582,43075400,
2015,9,Argentina,BiocapPerCap,2.663008212,1.762657239,0.638705019,1.585280595,0.108803221,0,3A,6.758454287,10568.1582,43075400,
2015,9,Argentina,BiocapTotGHA,114710139.8,75927162.88,27512473.19,68286593.28,4686742.112,0,3A,291123111.2,10568.1582,43075400,
2015,9,Argentina,Earths,0.651099196,0.485352064,0.165631118,0.057149811,0.067185298,0.751818552,3A,2.178236039,10568.1582,43075400,
2015,9,Argentina,EFConsPerCap,1.054422509,0.786003338,0.268231292,0.092551254,0.108803221,1.217532457,3A,3.527544071,10568.1582,43075400,
2015,9,Argentina,EFConsTotGHA,45419669.7,33857406.94,11554169.77,3986682.143,4686742.112,52445695.69,3A,151950366.4,10568.1582,43075400,
2015,9,Argentina,EFExportsPerCap,1.625358891,0.148787715,0.022739666,0.108355088,0,0.56637651,3A,2.471617871,10568.1582,43075400,
2015,9,Argentina,EFExportsTotGHA,70012981.85,6409090.125,979520.1823,4667438.595,0,24396893.84,3A,106465924.6,10568.1582,43075400,
2015,9,Argentina,EFImportsPerCap,0.016773189,0.00053462,0.060972592,0.007929348,0,0.313582538,3A,0.399792288,10568.1582,43075400,
2015,9,Argentina,EFImportsTotGHA,722511.7891,23028.9893,2626418.704,341559.8398,0,13507692.76,3A,17221212.08,10568.1582,43075400,
2015,9,Argentina,EFProdPerCap,2.663008212,0.934256433,0.229998366,0.192976994,0.108803221,1.470326429,3A,5.599369655,10568.1582,43075400,
2015,9,Argentina,EFProdTotGHA,114710139.8,40243468.08,9907271.247,8312560.898,4686742.112,63334896.78,3A,241195078.9,10568.1582,43075400,
2015,9,Argentina,GDP,,,,,,,,10568.1582,10568.1582,43075400,
2015,9,Argentina,HDI,,,,,,,,0.839999974,55079.89063,43075400,
2015,9,Argentina,Population,,,,,,,,43075400,55079.89063,43075400,
2015,10,Australia,AreaPerCap,1.311898047,13.23397054,5.561245169,8.861564818,0.026748899,0,3A,28.99542747,55079.89063,23932500,
2015,10,Australia,AreaTotHA,31397000,316722000,133094500,212079400,640168.0298,0,3A,693933068,55079.89063,23932500,
2015,10,Australia,BiocapPerCap,2.099645705,4.613780573,2.037224763,3.052479309,0.042810652,0,3A,11.845941,55079.89063,23932500,
2015,10,Australia,BiocapTotGHA,50249770.84,110419303.6,48755881.65,73053461.06,1024565.939,0,3A,283502983.1,55079.89063,23932500,
2015,10,Australia,Earths,0.362595485,0.210248761,0.535053644,0.070312394,0.026435306,2.796636701,3A,4.001282291,55079.89063,23932500,
2015,10,Australia,EFConsPerCap,0.587205212,0.340487329,0.866492554,0.113867397,0.042810652,4.529012943,3A,6.479876088,55079.89063,23932500,
2015,10,Australia,EFConsTotGHA,14053288.73,8148713.009,20737333.05,2725131.478,1024565.939,108390602.3,3A,155079634.5,55079.89063,23932500,
2015,10,Australia,EFExportsPerCap,1.732315349,2.270784884,0.229033397,0.018413173,0,2.513376597,3A,6.7639234,55079.89063,23932500,
2015,10,Australia,EFExportsTotGHA,41458637.1,54345559.24,5481341.762,440673.2721,0,60151385.4,3A,161877596.8,55079.89063,23932500,
2015,10,Australia,EFImportsPerCap,0.219874855,0.037904194,0.234384386,0.091409712,0,1.609301793,3A,2.19287494,55079.89063,23932500,
2015,10,Australia,EFImportsTotGHA,5262154.978,907142.1124,5609404.306,2187662.939,0,38514615.16,3A,52480979.49,55079.89063,23932500,
2015,10,Australia,EFProdPerCap,2.099645705,2.57336802,0.861141565,0.040870858,0.042810652,5.433087747,3A,11.05092455,55079.89063,23932500,
2015,10,Australia,EFProdTotGHA,50249770.84,61587130.14,20609270.51,978141.8117,1024565.939,130027372.5,3A,264476251.8,55079.89063,23932500,
